quarter,submission_row_count,tag_row_count,numeric_row_count,numeric_part_file_count,top_forms_json,submission_missingness_json,tag_missingness_json,numeric_missingness_json,run_date
2019q1,5708,66441,3072555,4,"{""10-K"": 3883, ""10-Q"": 1204, ""20-F"": 222, ""40-F"": 94, ""10-Q/A"": 62, ""S-1/A"": 50, ""10-K/A"": 48, ""S-1"": 32, ""6-K"": 31, ""10-KT"": 20}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 3398}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 82000}",2026-01-05
2019q2,7232,76812,2816279,3,"{""10-Q"": 5385, ""10-K"": 998, ""20-F"": 365, ""10-Q/A"": 135, ""10-K/A"": 104, ""S-1/A"": 42, ""6-K"": 40, ""S-1"": 38, ""POS AM"": 34, ""20-F/A"": 20}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 1, ""doc"": 7279}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 133517}",2026-01-05
2019q3,6274,64951,2957329,3,"{""10-Q"": 5343, ""10-K"": 443, ""6-K"": 154, ""10-Q/A"": 103, ""20-F"": 46, ""10-K/A"": 41, ""S-1"": 39, ""S-1/A"": 33, ""8-K"": 17, ""S-4"": 11}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 5656}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 124657}",2026-01-05
2019q4,6211,69127,3094866,4,"{""10-Q"": 5384, ""10-K"": 414, ""10-Q/A"": 113, ""6-K"": 64, ""20-F"": 44, ""S-1/A"": 44, ""10-K/A"": 41, ""S-1"": 35, ""8-K"": 16, ""S-4"": 12}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 6010}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 148656}",2026-01-05
2020q1,5816,75203,3099352,4,"{""10-K"": 4027, ""10-Q"": 1174, ""20-F"": 216, ""40-F"": 95, ""10-K/A"": 60, ""S-1/A"": 53, ""10-Q/A"": 44, ""S-1"": 42, ""6-K"": 37, ""POS AM"": 16}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 4774}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 108083}",2026-01-05
2020q2,6561,75421,2562710,3,"{""10-Q"": 5101, ""10-K"": 702, ""20-F"": 396, ""10-K/A"": 65, ""10-Q/A"": 52, ""S-1"": 43, ""6-K"": 40, ""S-1/A"": 37, ""POS AM"": 35, ""8-K"": 22}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 6582}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 121495}",2026-01-05
2020q3,6302,71580,2868109,3,"{""10-Q"": 5339, ""10-K"": 428, ""6-K"": 163, ""10-Q/A"": 101, ""S-1"": 59, ""S-1/A"": 50, ""20-F"": 49, ""10-K/A"": 35, ""8-K"": 13, ""S-4"": 12}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 6636}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 117585}",2026-01-05
2020q4,6260,76598,2963091,3,"{""10-Q"": 5344, ""10-K"": 406, ""6-K"": 81, ""10-Q/A"": 80, ""S-1"": 80, ""S-1/A"": 70, ""S-4/A"": 41, ""20-F"": 41, ""10-K/A"": 32, ""S-4"": 25}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 7558}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 138954}",2026-01-05
2021q1,6316,88054,3072093,4,"{""10-K"": 4335, ""10-Q"": 1130, ""20-F"": 262, ""40-F"": 108, ""S-1"": 90, ""S-1/A"": 72, ""10-Q/A"": 53, ""10-K/A"": 52, ""POS AM"": 48, ""6-K"": 48}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 7176}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 112477}",2026-01-05
2021q2,7810,97000,2833915,3,"{""10-Q"": 5808, ""10-K"": 661, ""20-F"": 412, ""10-K/A"": 304, ""S-4/A"": 109, ""10-Q/A"": 99, ""S-1"": 97, ""S-1/A"": 93, ""POS AM"": 49, ""6-K"": 47}","{""adsh"": 0, ""cik"": 0, ""form"": 0, ""period"": 0, ""filed"": 0}","{""tag"": 0, ""tlabel"": 0, ""doc"": 10400}","{""adsh"": 0, ""tag"": 0, ""ddate"": 0, ""qtrs"": 0, ""uom"": 0, ""value"": 140194}",2026-01-05
