feature_name,missingness_fraction,missing_value_count,total_row_count
DebtCurrent__rolling_mean_4q,0.9741958774051478,134931,138505
DebtCurrent__slope_4q,0.9741958774051478,134931,138505
DebtCurrent__change_yoy,0.9740009385942746,134904,138505
DebtCurrent__change_qoq,0.9667809826360059,133904,138505
DebtCurrent,0.9614382152268871,133164,138505
LongTermDebtCurrent__change_yoy,0.8905093678928558,123340,138505
LongTermDebtCurrent__rolling_mean_4q,0.8843724053283275,122490,138505
LongTermDebtCurrent__slope_4q,0.8843724053283275,122490,138505
ratio_operating_income_margin__rolling_mean_4q,0.8574997292516515,118768,138505
ratio_operating_income_margin__slope_4q,0.8574997292516515,118768,138505
ratio_operating_income_margin__change_yoy,0.8550232843579654,118425,138505
LongTermDebtCurrent__change_qoq,0.8535431933865203,118220,138505
ratio_net_income_margin__rolling_mean_4q,0.8432980758817371,116801,138505
ratio_net_income_margin__slope_4q,0.8432980758817371,116801,138505
ratio_net_income_margin__change_yoy,0.834749648027147,115617,138505
LongTermDebtCurrent,0.8336377748095737,115463,138505
LongTermDebtNoncurrent__change_yoy,0.8236309158514133,114077,138505
LongTermDebtNoncurrent__rolling_mean_4q,0.8144110320927043,112800,138505
LongTermDebtNoncurrent__slope_4q,0.8144110320927043,112800,138505
ratio_operating_income_margin__change_qoq,0.8134002382585466,112660,138505
ratio_operating_cash_flow_margin__rolling_mean_4q,0.8064329807588174,111695,138505
ratio_operating_cash_flow_margin__slope_4q,0.8064329807588174,111695,138505
ratio_operating_cash_flow_margin__change_yoy,0.8043752933107108,111410,138505
ratio_net_income_margin__change_qoq,0.7907512364174578,109523,138505
ratio_operating_income_margin,0.7810403956535865,108178,138505
LongTermDebtNoncurrent__change_qoq,0.776296884589004,107521,138505
Revenues__change_yoy,0.7718854914985018,106910,138505
Revenues__rolling_mean_4q,0.7623046099418793,105583,138505
Revenues__slope_4q,0.7623046099418793,105583,138505
ratio_interest_coverage_operating_income__change_yoy,0.7616187141258438,105488,138505
ratio_interest_coverage_operating_income__rolling_mean_4q,0.7554528717374824,104634,138505
ratio_interest_coverage_operating_income__slope_4q,0.7554528717374824,104634,138505
LongTermDebtNoncurrent,0.7531352658748781,104313,138505
ratio_operating_cash_flow_margin__change_qoq,0.7522111115122198,104185,138505
ratio_net_income_margin,0.748211255911339,103631,138505
ratio_operating_cash_flow_margin,0.7135265874878163,98827,138505
Revenues__change_qoq,0.7096278112703512,98287,138505
