feature_name,missing_value_count
DebtCurrent__slope_4q,134931
DebtCurrent__rolling_mean_4q,134931
DebtCurrent__change_yoy,134904
DebtCurrent__change_qoq,133904
DebtCurrent,133164
LongTermDebtCurrent__change_yoy,123340
LongTermDebtCurrent__rolling_mean_4q,122490
LongTermDebtCurrent__slope_4q,122490
ratio_operating_income_margin__rolling_mean_4q,118768
ratio_operating_income_margin__slope_4q,118768
ratio_operating_income_margin__change_yoy,118425
LongTermDebtCurrent__change_qoq,118220
ratio_net_income_margin__slope_4q,116801
ratio_net_income_margin__rolling_mean_4q,116801
ratio_net_income_margin__change_yoy,115617
LongTermDebtCurrent,115463
LongTermDebtNoncurrent__change_yoy,114077
LongTermDebtNoncurrent__rolling_mean_4q,112800
LongTermDebtNoncurrent__slope_4q,112800
ratio_operating_income_margin__change_qoq,112660
ratio_operating_cash_flow_margin__rolling_mean_4q,111695
ratio_operating_cash_flow_margin__slope_4q,111695
ratio_operating_cash_flow_margin__change_yoy,111410
ratio_net_income_margin__change_qoq,109523
ratio_operating_income_margin,108178
LongTermDebtNoncurrent__change_qoq,107521
Revenues__change_yoy,106910
Revenues__rolling_mean_4q,105583
Revenues__slope_4q,105583
ratio_interest_coverage_operating_income__change_yoy,105488
ratio_interest_coverage_operating_income__rolling_mean_4q,104634
ratio_interest_coverage_operating_income__slope_4q,104634
LongTermDebtNoncurrent,104313
ratio_operating_cash_flow_margin__change_qoq,104185
ratio_net_income_margin,103631
ratio_operating_cash_flow_margin,98827
Revenues__change_qoq,98287
ratio_interest_coverage_operating_income__change_qoq,96339
Revenues,93538
ratio_interest_coverage_operating_income,90534
InterestExpense__change_yoy,89602
InterestExpense__slope_4q,86952
InterestExpense__rolling_mean_4q,86952
ratio_cash_and_restricted_cash_to_assets__change_yoy,76740
InterestExpense__change_qoq,76591
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents__change_yoy,75921
ratio_cash_and_restricted_cash_to_assets__slope_4q,72743
ratio_cash_and_restricted_cash_to_assets__rolling_mean_4q,72743
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents__slope_4q,71431
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents__rolling_mean_4q,71431
InterestExpense,69986
ratio_cash_and_restricted_cash_to_assets__change_qoq,59064
OperatingIncomeLoss__change_yoy,58649
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents__change_qoq,57979
ratio_cash_to_assets__change_yoy,57246
CashAndCashEquivalentsAtCarryingValue__change_yoy,55784
NetIncomeLoss__change_yoy,53082
OperatingIncomeLoss__slope_4q,52926
OperatingIncomeLoss__rolling_mean_4q,52926
ratio_cash_to_assets__slope_4q,52855
ratio_cash_to_assets__rolling_mean_4q,52855
ratio_liabilities_to_assets__change_yoy,52044
ratio_cash_and_restricted_cash_to_assets,51142
NetIncomeLoss__slope_4q,51073
NetIncomeLoss__rolling_mean_4q,51073
CashAndCashEquivalentsAtCarryingValue__rolling_mean_4q,50788
CashAndCashEquivalentsAtCarryingValue__slope_4q,50788
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,50270
Liabilities__change_yoy,50062
ratio_equity_to_assets__change_yoy,47594
ratio_liabilities_to_assets__rolling_mean_4q,46271
ratio_liabilities_to_assets__slope_4q,46271
StockholdersEquity__change_yoy,45178
ratio_equity_to_assets__rolling_mean_4q,43777
ratio_equity_to_assets__slope_4q,43777
Liabilities__rolling_mean_4q,43504
Liabilities__slope_4q,43504
StockholdersEquity__slope_4q,40551
StockholdersEquity__rolling_mean_4q,40551
OperatingIncomeLoss__change_qoq,39165
NetCashProvidedByUsedInOperatingActivities__change_yoy,37212
ratio_cash_to_assets__change_qoq,36771
ratio_total_debt_to_assets__change_yoy,36482
Assets__change_yoy,35011
CashAndCashEquivalentsAtCarryingValue__change_qoq,34956
NetIncomeLoss__change_qoq,32219
OperatingIncomeLoss,31754
ratio_liabilities_to_assets__change_qoq,30422
NetCashProvidedByUsedInOperatingActivities__slope_4q,30246
NetCashProvidedByUsedInOperatingActivities__rolling_mean_4q,30246
ratio_total_debt_to_assets__slope_4q,29577
ratio_total_debt_to_assets__rolling_mean_4q,29577
Liabilities__change_qoq,28016
Assets__rolling_mean_4q,27468
Assets__slope_4q,27468
ratio_cash_to_assets,27336
CashAndCashEquivalentsAtCarryingValue,25791
ratio_equity_to_assets__change_qoq,25785
StockholdersEquity__change_qoq,22850
ratio_liabilities_to_assets,21765
Liabilities,19758
NetIncomeLoss,19079
ratio_equity_to_assets,15176
NetCashProvidedByUsedInOperatingActivities__change_qoq,13063
StockholdersEquity,12634
ratio_total_debt_to_assets__change_qoq,12191
Assets__change_qoq,10409
NetCashProvidedByUsedInOperatingActivities,3885
ratio_total_debt_to_assets,2884
Assets,1427
